date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:59	101953/101953	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:01%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-bangalore-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-bangalore-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:59	101943/101943	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:02%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-Chennai-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-Chennai-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:59	101933/101933	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:02%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-delhi-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-delhi-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:37:00	101923/101923	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:02%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-Goa-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-Goa-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:37:00	101953/101953	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:02%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-hyderabad-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-hyderabad-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:37:00	101938/101938	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:03%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-jaipur-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-jaipur-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:37:00	101943/101943	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:03%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-kolkata-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-kolkata-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:37:01	101938/101938	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:03%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-mumbai-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-mumbai-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:37:01	101928/101928	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:04%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-pune-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-pune-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:37:01	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2007%20Aug%202024%2005:07:04%20GMT	https://www.dominos.co.in/about-us	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/about-us	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:37:02	107989/107989	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2015:15:48%20GMT	https://www.dominos.co.in/disclaimer	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/disclaimer.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:37:02	555626/555626	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:05%20GMT	https://www.dominos.co.in/store-location/bangalore	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/store-location/bangalore.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:37:03	431397/431397	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:05%20GMT	https://www.dominos.co.in/store-location/chennai	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/store-location/chennai.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:37:03	551874/551874	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:05%20GMT	https://www.dominos.co.in/store-location/new-delhi	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/store-location/new-delhi.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:37:03	249693/249693	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:06%20GMT	https://www.dominos.co.in/store-location/gurgaon	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/store-location/gurgaon.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
